# ./get-letter-freqs.py --sort --stats stats-ghent-plus.tsv words.txt
s	6377	1448	80	492	454	3902
e	6098	270	1489	816	2158	1367
a	5441	651	2079	1138	978	594
o	4057	234	1938	913	633	339
r	3759	582	864	1094	649	570
i	3377	140	1258	965	762	251
l	3042	529	632	765	698	418
t	3007	757	218	554	839	640
n	2687	306	305	882	728	465
u	2262	172	1071	605	353	61
d	2257	620	74	342	447	774
p	1843	796	212	322	384	129
y	1839	175	255	197	100	1113
c	1814	820	159	359	373	104
m	1787	646	168	464	365	145
h	1600	452	492	112	214	330
g	1486	583	69	327	377	129
b	1457	817	72	292	226	48
k	1397	344	88	253	477	235
f	1011	533	22	163	219	75
w	966	380	151	253	123	59
v	639	225	47	220	143	4
z	392	100	24	132	108	28
j	270	187	11	44	25	3
x	253	12	51	125	9	57
q	99	67	14	11	2	4
